sample-id	input	filtered	denoised	non-chimeric
#q2:types	numeric	numeric	numeric	numeric
S0384	5152	2115	1800	1800
S0385	1652	734	401	401
S0386	2245	998	645	645
S0387	885	408	184	184
S0388	1592	698	344	344
S0389	2395	999	584	584
S0390	4185	1825	1321	1321
S0391	2934	1244	791	791
S0392	1809	733	422	422
S0393	2260	962	560	560
S0394	1209	566	272	272
S0395	2224	936	674	674
S0397	1569	679	353	353
S0398	3183	1436	928	928
S0399	947	396	155	155
S0401	3264	1377	1097	1097
S0402	988	415	158	158
S0403	1793	661	368	368
S0404	886	352	55	55
S0405	1856	701	383	383
S0406	2445	912	510	510
S0407	3298	1268	940	940
S0407-redo	1626	517	299	299
S0408	2454	1054	593	593
S0409	3233	1430	1047	1047
S0410	4496	2449	2054	2054
S0411	3885	2163	1627	1627
S0413	2761	1504	1125	1125
S0414	2497	1342	887	887
S0415	3385	1841	1235	1235
S0416	3444	1875	1391	1391
S0417	1829	992	629	629
S0418	1258	709	383	383
S0419	1582	474	205	205
S0420	9185	5151	4791	4779
S0421	1559	844	561	561
S0422	1289	390	145	145
S0423	5044	2769	2244	2244
S0424	4364	2302	1832	1832
S0425	1771	980	795	795
S0426	3192	1764	1272	1272
S0427	10777	5835	5294	5262
S0428	4994	2695	2210	2210
S0429	2210	1232	783	783
S0430	3363	1811	1346	1346
S0431	3114	1630	1207	1207
S0432	2650	1428	1006	1006
S0433	2057	770	433	433
S0434	1868	668	274	274
S0435	1411	543	257	257
S0436	1876	725	463	463
S0437	2633	981	744	744
S0438	865	304	177	177
S0439	2100	755	529	529
S0440	1211	469	214	214
S0441	2831	1072	676	676
S0443	2597	980	512	512
S0444	1254	445	173	173
S0445	1825	659	339	339
S0446	5060	1979	1559	1533
