SampleID
S0253
S0254
S0255
S0256
S0257
S0258
S0260
S0261
S0262
S0263
S0264
S0265
S0266
S0267
S0268
S0269
S0270
S0271
S0272
S0274
S0275
S0276
S0277
S0278
S0279
S0280
S0282
S0283
S0284
S0286
S0287
S0288
S0289
S0290
S0291
S0292
S0293
S0299
S0300
S0301
S0302
S0303
S0305
S0306
S0307
S0309
S0311
S0312
S0313
S0314
S0315
S0316
S0317
S0318
S0320
S0321
S0322
S0323
S0324
S0325
S0326
S0331
S0332
S0333
S0334
S0335
S0337
S0339
S0340
S0341
S0342
S0343
S0344
S0345
S0346
S0347
S0348
S0349
S0350
S0351
S0352
S0353
S0354
S0355
S0356
S0357
S0358
S0360
S0361
S0362
S0363
S0365
S0366
S0367
S0368
S0369
S0370
S0371
S0372
S0373
S0374
S0375
S0376
S0377
S0378
S0379
S0380
S0381
S0382
S0383
S0384
S0385
S0386
S0387
S0388
S0389
S0390
S0391
S0392
S0393
S0394
S0395
S0397
S0398
S0399
S0401
S0402
S0403
S0404
S0405
S0406
S0407
S0408
S0409
S0410
S0411
S0413
S0414
S0415
S0416
S0417
S0418
S0419
S0420
S0421
S0422
S0423
S0424
S0425
S0426
S0427
S0428
S0429
S0430
S0431
S0432
S0433
S0434
S0435
S0436
S0437
S0439
S0440
S0441
S0443
S0444
S0445
S0446
