sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
S0415	109507	86195	85137	82461	76185
S0416	79770	62782	61967	59817	55057
S0417	56895	44716	43979	42274	39009
S0418	57886	45442	44606	42724	38861
S0419	57027	31054	30378	27597	25317
S0420	61499	48095	47204	45429	42205
S0421	67772	52579	51665	49516	45702
S0422	68062	37355	36610	34728	32245
S0423	133242	104387	103281	100230	93755
S0424	63476	49609	48762	46134	42575
S0425	91289	70614	68902	64563	56223
S0426	94651	74750	73838	71711	66407
S0427	144294	113215	112040	108211	99577
S0428	150892	117953	117120	114137	104847
S0429	60891	47782	47084	45101	41264
S0430	101339	79159	78156	74407	67679
S0431	156248	122943	121814	119097	109550
S0432	112820	88336	87362	84381	76743
S0433	81068	50250	49447	47211	43169
S0434	86021	53119	52347	49977	45056
S0435	61145	37719	37079	35565	32478
S0436	47336	28811	27756	24829	22013
S0437	53310	32275	31026	28628	25674
S0438	54781	32876	32331	31160	29537
S0439	39209	24209	23660	22378	20606
S0440	49682	30601	30032	28559	26182
S0441	89959	55372	54640	52082	47478
S0443	124121	76537	75402	70898	63176
S0444	77577	47310	46577	43709	39423
S0445	80465	49246	48419	46721	43391
S0446	98060	60537	59704	55932	50177
